Date,GOOGL,SPX,KR,T,F,CVX,MSFT,WMT,AMZN,SPY
12/31/2025,313.00 ,6845.50 ,62.48 ,24.84 ,13.12 ,152.41 ,483.62 ,111.41 ,230.82 ,681.92 
11/28/2025,320.18 ,6849.09 ,67.28 ,26.02 ,13.28 ,151.13 ,492.01 ,110.51 ,233.22 ,683.39 
10/31/2025,281.19 ,6840.20 ,63.63 ,24.75 ,13.13 ,157.72 ,517.81 ,101.18 ,244.22 ,682.06 
9/30/2025,243.10 ,6688.46 ,67.41 ,28.24 ,11.96 ,155.29 ,517.95 ,103.06 ,219.57 ,666.18 
8/29/2025,212.91 ,6460.26 ,67.84 ,29.29 ,11.77 ,160.60 ,506.69 ,96.98 ,229.00 ,645.05 
7/31/2025,191.90 ,6339.39 ,70.10 ,27.41 ,11.07 ,151.64 ,533.50 ,97.98 ,234.11 ,632.08 
6/30/2025,176.23 ,6204.95 ,71.73 ,28.94 ,10.85 ,143.19 ,497.41 ,97.78 ,219.39 ,617.85 
5/30/2025,171.74 ,5911.69 ,68.23 ,27.80 ,10.38 ,136.70 ,460.36 ,98.72 ,205.01 ,589.39 
4/30/2025,158.80 ,5569.06 ,72.21 ,27.70 ,10.01 ,136.06 ,395.26 ,97.25 ,184.42 ,554.54 
3/31/2025,154.64 ,5611.85 ,67.69 ,28.28 ,10.03 ,167.29 ,375.39 ,87.79 ,190.26 ,559.39 
2/28/2025,170.28 ,5954.50 ,64.82 ,27.41 ,9.55 ,158.62 ,396.99 ,98.61 ,212.28 ,594.18 
1/31/2025,204.02 ,6040.53 ,61.64 ,23.73 ,10.08 ,149.19 ,415.06 ,98.16 ,237.68 ,601.82 
12/31/2024,189.30 ,5881.63 ,61.15 ,22.77 ,9.90 ,144.84 ,421.50 ,90.35 ,219.39 ,586.08 
11/29/2024,168.95 ,6032.38 ,61.08 ,23.16 ,11.13 ,161.93 ,423.46 ,92.50 ,207.89 ,602.55 
10/31/2024,171.11 ,5705.45 ,55.77 ,22.54 ,10.29 ,148.82 ,406.35 ,81.95 ,186.40 ,568.64 
9/30/2024,165.85 ,5762.48 ,57.30 ,22.00 ,10.56 ,147.27 ,430.30 ,80.75 ,186.33 ,573.76 
8/30/2024,163.38 ,5648.40 ,53.21 ,19.90 ,11.19 ,147.95 ,417.14 ,77.23 ,178.50 ,563.68 
7/31/2024,171.54 ,5522.30 ,54.50 ,19.25 ,10.82 ,160.47 ,418.35 ,68.64 ,186.98 ,550.81 
6/28/2024,182.15 ,5460.48 ,49.93 ,19.11 ,12.54 ,156.42 ,446.95 ,67.71 ,193.25 ,544.22 
5/31/2024,172.50 ,5277.51 ,52.37 ,18.22 ,12.13 ,162.30 ,415.13 ,65.76 ,176.44 ,527.37 
4/30/2024,162.78 ,5035.69 ,55.38 ,16.89 ,12.15 ,161.27 ,389.33 ,59.35 ,175.00 ,501.98 
3/28/2024,150.93 ,5254.35 ,57.13 ,17.60 ,13.28 ,157.74 ,420.72 ,60.17 ,180.38 ,523.07 
2/29/2024,138.46 ,5096.27 ,49.61 ,16.93 ,12.44 ,152.01 ,413.64 ,58.61 ,176.76 ,508.08 
1/31/2024,140.10 ,4845.65 ,46.14 ,17.69 ,11.72 ,147.43 ,397.58 ,55.08 ,155.20 ,482.88 
12/29/2023,139.69 ,4769.83 ,45.71 ,16.78 ,12.19 ,149.16 ,376.04 ,52.55 ,151.94 ,475.31 
11/30/2023,132.53 ,4567.80 ,44.27 ,16.57 ,10.26 ,143.60 ,378.91 ,51.90 ,146.09 ,456.40 
10/31/2023,124.08 ,4193.80 ,45.37 ,15.40 ,9.75 ,145.73 ,338.11 ,54.47 ,133.09 ,418.20 
9/29/2023,130.86 ,4288.05 ,44.75 ,15.02 ,12.42 ,168.62 ,315.75 ,53.31 ,127.12 ,427.48 
8/31/2023,136.17 ,4507.66 ,46.39 ,14.79 ,12.13 ,161.10 ,327.76 ,54.20 ,138.01 ,450.35 
7/31/2023,132.72 ,4588.96 ,48.64 ,14.52 ,13.21 ,163.66 ,335.92 ,53.29 ,133.68 ,457.79 
