AMZN,CVX,F,GOOGL,KR,MSFT,SPX,SPY,T,WMT
19.01,106.68,16.34,28.13,35.58,43.85,2104.5,210.66,34.56,27.98
18.61,104.98,16.14,27.74,38.33,40.66,2067.89,206.43,32.65,27.42
21.09,111.06,15.8,27.44,34.46,48.64,2085.51,208.46,34.64,26.02
21.46,103.0,15.17,27.27,36.4,46.86,2107.39,211.14,34.54,24.76
21.7,96.47,15.01,27.0,36.26,44.15,2063.11,205.85,35.52,23.64
26.81,88.48,14.83,32.88,39.24,46.7,2103.84,210.5,34.74,23.99
25.64,80.99,13.87,32.39,34.5,43.52,1972.18,197.67,33.2,21.58
25.59,78.88,13.57,31.92,36.07,44.26,1920.03,191.63,32.58,21.61
31.3,90.88,14.81,36.87,37.8,52.64,2079.36,207.93,33.51,19.08
33.24,91.32,14.33,38.14,37.66,54.35,2080.41,208.69,33.67,19.61
33.79,89.96,14.09,38.9,41.83,55.48,2043.94,203.87,34.41,20.43
29.35,86.47,11.94,38.07,38.81,55.09,1940.24,193.72,36.06,22.12
27.63,83.44,12.51,35.86,39.91,50.88,1932.23,193.56,36.95,22.11
29.68,95.4,13.5,38.15,38.25,55.23,2059.74,205.52,39.17,22.83
32.98,102.18,13.56,35.39,35.39,49.87,2065.3,206.33,38.82,22.29
36.14,101.0,13.49,37.44,35.76,53.0,2096.96,209.84,39.15,23.59
35.78,104.83,12.57,35.18,36.79,51.17,2098.86,209.48,43.21,24.34
37.94,102.48,12.66,39.57,34.19,56.68,2173.6,217.12,43.29,24.32
38.46,100.58,12.6,39.49,31.99,57.46,2170.95,217.38,40.88,23.81
41.87,102.92,12.07,40.2,29.68,57.6,2168.27,216.3,40.61,24.04
39.49,104.75,11.74,40.5,30.98,59.92,2126.15,212.55,36.79,23.34
37.53,111.56,11.96,38.79,32.3,60.26,2198.81,220.38,38.63,23.48
37.49,117.7,12.13,39.62,34.51,62.14,2238.83,223.53,42.53,23.04
41.17,111.35,12.36,41.01,33.96,64.65,2278.87,227.53,42.16,22.25
42.25,112.5,12.53,42.25,31.8,63.98,2363.64,236.47,41.79,23.64
44.33,107.37,11.64,42.39,29.49,65.86,2362.72,235.74,41.55,24.03
46.25,106.7,11.47,46.23,29.65,68.46,2384.2,238.08,39.63,25.06
49.73,103.48,11.12,49.35,29.78,69.84,2411.8,241.44,38.53,26.2
48.4,104.33,11.19,46.48,23.32,68.93,2423.41,241.8,37.73,25.23
49.39,109.19,11.22,47.28,24.52,72.7,2470.3,246.77,39.0,26.66
49.03,107.62,11.03,47.76,21.87,74.77,2471.65,247.49,37.46,26.02
48.07,117.5,11.97,48.69,20.06,74.49,2519.36,251.23,39.17,26.05
55.26,115.89,12.27,51.65,20.7,83.18,2575.26,257.15,33.65,29.1
58.84,118.99,12.52,51.81,25.86,84.17,2647.58,265.01,36.38,32.41
58.47,125.19,12.49,52.67,27.45,85.54,2673.61,266.86,38.88,32.92
72.54,125.35,10.97,59.11,30.36,95.01,2823.81,281.9,37.45,35.53
75.62,111.92,10.61,55.2,27.12,93.77,2713.83,271.65,36.3,30.0
72.37,114.04,11.08,51.86,23.94,91.27,2640.87,263.15,35.65,29.66
78.31,125.11,11.24,50.93,25.19,93.52,2648.05,264.51,32.7,29.49
81.48,124.3,11.55,55.0,24.33,98.84,2705.27,270.94,32.32,27.51
84.99,126.43,11.07,56.46,28.45,98.61,2718.37,271.28,32.11,28.55
88.87,126.27,10.04,61.36,29.0,106.08,2816.29,281.33,31.97,29.74
100.64,118.46,9.48,61.59,31.5,112.33,2901.52,290.31,31.94,31.95
100.15,122.28,9.25,60.35,29.11,114.37,2913.98,290.72,33.58,31.3
79.9,111.65,9.55,54.53,29.76,106.81,2711.74,270.63,30.68,33.43
84.51,118.94,9.41,55.48,29.66,110.89,2760.17,275.65,31.24,32.55
75.1,108.79,7.65,52.25,27.5,101.57,2506.85,249.92,28.54,31.05
85.94,114.65,8.8,56.29,28.33,104.43,2704.1,269.93,30.06,31.94
81.99,119.58,8.77,56.33,29.33,112.03,2784.49,278.68,31.12,33.0
89.04,123.18,8.78,58.84,24.6,117.94,2834.4,282.48,31.36,32.51
96.33,120.06,10.45,59.95,25.78,130.6,2945.83,294.02,30.96,34.28
88.75,113.85,9.52,55.33,22.81,123.68,2752.06,275.27,30.58,33.81
94.68,124.44,10.23,54.14,21.71,133.96,2941.76,293.0,33.51,36.83
93.34,123.11,9.53,60.91,21.16,136.27,2980.38,297.43,34.05,36.79
88.81,117.72,9.17,59.53,23.68,137.86,2926.46,292.45,35.26,38.09
86.8,118.6,9.16,61.06,25.78,139.03,2976.74,296.77,37.84,39.56
88.83,116.14,8.59,62.94,24.64,143.37,3037.56,303.33,38.49,39.09
90.04,117.13,9.06,65.2,27.34,151.38,3140.98,314.31,37.38,39.7
92.39,120.51,9.3,66.97,28.99,157.7,3230.78,321.86,39.08,39.61
100.44,107.14,8.82,71.64,26.86,170.23,3225.52,321.73,37.62,38.16
94.19,93.34,6.96,66.96,28.13,162.01,2954.22,296.26,35.22,35.89
97.49,72.46,4.83,58.1,30.12,157.71,2584.59,257.75,29.15,37.87
123.7,92.0,5.09,67.34,31.61,179.21,2912.43,290.48,30.47,40.52
122.12,91.7,5.71,71.68,32.62,183.25,3044.31,304.32,30.86,41.35
137.94,89.23,6.08,70.9,33.85,203.51,3100.29,308.36,30.23,39.93
158.23,83.94,6.61,74.4,34.79,205.01,3271.12,326.52,29.58,43.13
172.55,83.93,6.82,81.48,35.68,225.53,3500.31,349.31,29.81,46.28
157.44,72.0,6.66,73.28,33.91,210.33,3363.0,334.89,28.51,46.64
151.81,69.5,7.73,80.81,32.21,202.47,3269.96,326.54,27.02,46.25
158.4,87.18,9.08,87.72,33.0,214.07,3621.63,362.06,28.75,50.93
162.85,84.45,8.79,87.63,31.76,222.42,3756.07,373.88,28.76,48.05
160.31,85.2,10.53,91.37,34.5,231.96,3714.24,370.07,28.63,46.83
154.65,100.0,11.7,101.1,32.21,232.38,3811.15,380.36,27.89,43.31
154.7,104.79,12.25,103.13,35.99,235.77,3972.89,396.33,30.27,45.28
173.37,103.07,11.54,117.68,36.54,252.18,4181.17,417.3,31.41,46.64
161.15,103.79,14.53,117.84,36.98,249.68,4204.11,420.04,29.43,47.34
172.01,104.74,14.86,122.09,38.31,270.9,4297.5,428.06,28.78,47.01
166.38,101.81,13.95,134.73,40.7,284.91,4395.26,438.51,28.05,47.52
173.54,96.77,13.03,144.7,46.03,301.88,4522.68,451.56,27.42,49.37
164.25,101.45,14.16,133.68,40.43,281.92,4307.54,429.14,27.01,46.46
168.62,114.49,17.08,148.05,40.02,331.62,4605.38,459.25,25.26,49.81
175.35,112.87,19.19,141.9,41.53,330.59,4567.0,455.56,22.83,46.88
166.72,117.35,20.77,144.85,45.26,336.32,4766.18,474.96,24.6,48.23
149.57,131.33,20.3,135.3,43.59,310.98,4515.55,449.91,25.5,46.6
153.56,144.0,17.56,135.06,46.8,298.79,4373.94,436.63,23.69,45.05
163.0,162.83,16.91,139.07,57.37,308.31,4530.41,451.64,23.63,49.64
124.28,156.67,14.16,114.11,53.96,277.52,4131.93,412.0,18.86,51.0
120.21,174.66,13.68,113.76,52.97,271.87,4132.15,412.93,21.29,42.88
106.21,144.78,11.13,108.96,47.33,256.83,3785.38,377.25,20.96,40.53
134.95,163.78,14.69,116.32,46.44,280.74,4130.29,411.99,18.78,44.02
126.77,158.06,15.24,108.22,47.94,261.47,3955.0,395.18,17.54,44.18
113.0,143.67,11.2,95.65,43.75,232.9,3585.62,357.18,15.34,43.23
102.44,180.9,13.37,94.51,47.29,232.13,3871.98,386.21,18.23,47.44
96.54,183.31,13.9,100.99,49.19,255.14,4080.11,407.68,19.28,50.81
84.0,179.49,11.63,88.23,44.58,239.82,3839.5,382.43,18.41,47.26
103.13,174.02,13.51,98.84,44.63,247.81,4076.6,406.48,20.37,47.96
94.23,160.77,12.07,90.06,43.14,249.42,3970.15,396.26,18.91,47.38
103.29,163.16,12.6,103.73,49.37,288.3,4109.31,409.39,19.25,49.15
105.45,168.58,11.88,107.34,48.63,307.26,4169.48,415.93,17.67,50.32
120.58,150.62,12.0,122.87,45.33,328.39,4179.83,417.85,15.73,48.96
130.36,157.35,15.13,119.7,47.0,340.54,4450.38,443.28,15.95,52.39
133.68,163.66,13.21,132.72,48.64,335.92,4588.96,457.79,14.52,53.29
138.01,161.1,12.13,136.17,46.39,327.76,4507.66,450.35,14.79,54.2
127.12,168.62,12.42,130.86,44.75,315.75,4288.05,427.48,15.02,53.31
133.09,145.73,9.75,124.08,45.37,338.11,4193.8,418.2,15.4,54.47
146.09,143.6,10.26,132.53,44.27,378.91,4567.8,456.4,16.57,51.9
151.94,149.16,12.19,139.69,45.71,376.04,4769.83,475.31,16.78,52.55
155.2,147.43,11.72,140.1,46.14,397.58,4845.65,482.88,17.69,55.08
176.76,152.01,12.44,138.46,49.61,413.64,5096.27,508.08,16.93,58.61
180.38,157.74,13.28,150.93,57.13,420.72,5254.35,523.07,17.6,60.17
175.0,161.27,12.15,162.78,55.38,389.33,5035.69,501.98,16.89,59.35
